State FIPS code,State,Year,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer signature,Number of exemptions,Number of dependents,"Number of 
farm returns",Self-employment retirement plansNumber of returns,Self-employment retirement plans Amount,State and local income taxes Number of returns,State and local income taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Taxable income Number of returns,Taxable income Amount,Child tax credit Number of returns,Child tax credit Amount,Residential energy credit Number of returns,Residential energy credit Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded Number of returns,Overpayments refunded Amount
13,GA,2013,4357130,1838220,1513530,908920,2360870,9058770,3427810,47600,19060,442902,1268420,7821227,1208500,3306342,1447800,11991821,1100050,8757669,3076650,157395955,686990,776412,90220,31960,779910,3607063,3398040,10452281
15,HI,2013,675080,336040,249550,74380,355730,1282390,391370,5670,5200,108405,169050,1369998,153580,306127,199510,1740023,143120,1860065,526810,25327366,103530,129226,19920,85220,127340,505350,501030,1351451
16,ID,2013,691530,286940,321340,76990,361100,1486740,513790,20100,2650,52746,159680,1094076,178270,410595,197230,1568054,156620,1230453,511160,22739954,128520,175366,14440,4365,135800,635881,513180,1286402
17,IL,2013,6100350,2872960,2187150,944800,3462150,12052960,4217230,67580,41490,1039819,1709200,13030567,1811380,11515546,2016180,25388780,1529140,12062942,4614720,285043339,911150,1110928,154210,49501,999230,5529698,4775460,15026200
18,IN,2013,3047520,1387400,1193270,415670,1588020,6064300,2046350,52090,12040,259468,676190,4028714,653550,1418438,723570,5742678,576110,3778819,2245310,107348690,513840,658895,87580,30339,438890,2083889,2447150,6634902
19,IA,2013,1434150,657290,610860,147970,918210,2806470,868680,80880,10430,203253,375280,2592513,385110,1273287,427160,4081997,308090,1833592,1139960,56320486,246860,337113,40900,22576,276590,1382411,1082090,2768362
20,KS,2013,1325560,593550,555470,155730,738080,2665600,879260,56550,7880,161646,286350,2098017,326710,1078718,362010,3476220,266060,1773043,1014180,54811945,232740,306628,27490,9296,251560,1376294,989880,2715836
21,KY,2013,1883840,814680,765690,268660,1111280,3781910,1251140,77510,6550,136473,439850,3304585,448050,999658,502380,4552395,393520,2512360,1379960,61036573,317840,389157,42880,15108,279380,1161003,1522960,4119372
22,LA,2013,2004060,863210,660690,452550,1115060,4026060,1469650,29530,9740,242709,377300,2079961,335450,696490,461470,3057464,325700,2482852,1455010,76190476,332860,388306,33700,24508,329580,1781435,1588450,5056411
23,ME,2013,635840,309150,254470,61690,302010,1154320,307390,4740,4200,69492,163240,1146771,168660,684943,180610,1923189,142360,1012436,489940,21760199,87970,108788,23010,8394,111700,437740,488890,1154565
24,MD,2013,2941750,1423910,973700,461010,1513740,5592260,1849270,11650,26630,650665,1241560,11341644,1078660,4549439,1329990,16150401,968110,9985339,2301490,140253365,423960,494801,77680,39667,614650,2533233,2187030,6483939
25,MA,2013,3300270,1718120,1163750,357010,1853740,5954570,1760290,4810,38860,838581,1149520,10761968,1111650,6379602,1234010,17598553,948050,8884951,2646110,196744759,421170,511104,96920,43880,640330,3841951,2464580,7920774
26,MI,2013,4656590,2232500,1767420,586950,2611610,8879610,2802120,41830,21250,437467,1104260,6541077,1163740,4324279,1267500,11428354,992440,6836428,3393460,175124229,655660,844824,140190,42317,750640,3069477,3585250,9586829
27,MN,2013,2652920,1300040,1057800,261740,1447580,5068190,1572390,71300,20300,378018,882110,7666620,880010,3032235,956720,11054075,755720,6050227,2110490,121741655,413090,555875,75670,24244,549560,2781024,1951040,4915451
28,MS,2013,1245340,492050,411550,318500,740120,2587770,995920,39700,4610,87780,211490,1071336,225670,435847,288280,1754074,196610,1303717,859740,35252555,214220,237034,20210,7178,189570,834106,1009500,3155682
29,MO,2013,2742750,1251290,1079870,361480,1469470,5329780,1688880,95830,13080,264520,642010,4330834,667790,1903761,742400,6748250,573900,3989315,2046980,101166907,430840,541347,55400,26988,470890,2104479,2114640,5788695
30,MT,2013,487280,234780,198900,45420,273730,909090,255100,19450,2360,43546,128590,795728,124270,326935,138750,1170382,101860,782662,365180,16988659,70460,93740,10740,4143,100360,467797,347530,836803
31,NE,2013,879780,407070,363770,96810,500140,1743060,571600,45040,5210,102548,218550,1581494,220270,867992,248920,2617782,182710,1129503,689700,34915234,154720,211135,21640,9160,167180,1060094,664830,1735519
32,NV,2013,1307550,626570,432610,227080,708210,2620110,933580,3460,4460,98788,28220,433352,269920,753074,325780,1859961,248340,2432656,989830,54785632,221000,255709,18050,12697,226300,1213616,1014540,3198287
33,NH,2013,681680,339010,269700,59700,302080,1229560,335640,2170,6320,118979,94640,485594,208320,1448592,218700,2055532,179590,1529011,546140,32400187,94470,120833,22680,8801,122550,618244,522630,1376281
34,NJ,2013,4326590,2039770,1566550,638620,2800640,8345920,2795070,9220,43100,1087977,1483960,15208778,1573200,14068438,1791370,29880380,1276360,11993804,3378760,242767572,595350,690681,100850,37728,796440,4684454,3272540,10607029
35,NM,2013,905670,414780,319640,161070,440290,1816480,633300,13880,3490,62540,175260,881831,184600,457728,211380,1413935,164290,1383577,649310,29143901,151200,179221,16890,14408,151230,641492,699810,1907465
36,NY,2013,9442110,4748910,2968990,1538540,6185170,17477410,5636380,29150,86580,2388055,2834320,46141847,2406570,19753814,3264530,66866002,2003430,18037355,7025450,502854380,1196610,1367319,182810,81698,1684300,9334009,7177560,25822002
37,NC,2013,4335390,1823810,1652070,766020,2269900,8799380,3054010,45920,20860,433949,1183220,8798548,1201140,3303652,1359380,12672080,1066350,8199622,3166440,153340597,707590,810808,90040,37150,789170,3383746,3338690,9050834
38,ND,2013,361520,182850,142970,30910,212680,668090,191660,27620,2690,64695,50140,315401,53970,176162,67170,517201,45490,330827,300620,19013249,57740,81283,7730,3170,83370,821517,259670,717608
39,OH,2013,5536460,2551430,1905910,720610,2747940,10321890,3285970,71200,29280,589688,1380520,9932581,1359490,5266642,1528290,15501170,1197150,7560692,4240990,202154157,838830,1067747,138200,46053,893390,3751240,4384180,11416016
40,OK,2013,1630460,683170,671530,242930,905460,3356960,1147280,76040,4940,98713,326110,2074251,336850,804774,398520,3038532,284770,1918399,1220640,62636146,296110,368324,25880,10487,295390,1558047,1253610,3756394
41,OR,2013,1792240,841900,722530,197390,823500,3495610,1070140,32840,13020,253187,604380,4967494,580980,2189365,649280,7240841,501280,4358411,1365090,67816664,260540,324263,30720,13668,371890,1599608,1297240,3218855
42,PA,2013,6153180,3020220,2309140,714470,3222510,11407030,3428090,43770,39290,820107,1585490,10488346,1627620,7898756,1804350,18818704,1393170,10360080,4689040,260422827,868290,1087937,178810,69104,939590,4609681,4828300,13383055
44,RI,2013,517820,268270,172160,67700,308500,924380,274410,750,3850,71161,162240,1076635,160730,838032,174480,2047027,139400,1109103,399680,21273496,70710,83000,14150,4244,82310,375205,408870,1134441
45,SC,2013,2105880,886510,767650,391100,1173810,4196640,1446660,21040,7630,156509,507770,3354273,522990,1067190,587430,4805334,461300,3543715,1528920,69222792,334800,384212,43340,16706,396930,1618868,1616240,4306560
46,SD,2013,411900,196310,166810,42820,228250,782560,239660,31630,2150,42525,6790,64170,61690,224548,70900,397505,50920,374908,318990,16646732,66120,91834,8750,3931,83670,606863,304690,790152
47,TN,2013,2907840,1258040,1111230,479120,1485300,5824080,1977780,67460,16220,369074,52980,496570,533800,1408984,600340,3121022,469740,3815207,2112700,103069250,462330,541285,56860,20190,456360,2262802,2326650,6778064
48,TX,2013,11886920,5247910,4381020,2095090,5991550,24835770,9301910,235390,58530,1410314,138310,1433570,2300550,12918118,2680290,19431164,2021380,15998857,8713530,534542584,2084290,2488309,209780,93421,1980790,12349907,9400290,31692082
49,UT,2013,1196400,489430,558520,128550,606850,2783310,1117250,13620,3330,74154,383240,2280725,389030,879464,430470,3285939,344810,2909909,915560,44855331,269660,410839,31970,11719,218450,1085164,928790,2626301
50,VT,2013,321470,165600,123030,27740,155760,567850,146010,4470,2810,46236,81550,539699,83450,460350,89200,1016313,69490,505608,248620,12053732,43370,54413,10260,7045,56920,234975,240370,574958
51,VA,2013,3834510,1749560,1488950,500160,1727650,7498610,2411100,38740,29020,742928,1330050,9620456,1269910,4732974,1449170,15168164,1149470,12017998,3035750,186453118,583680,708424,98470,35930,744430,3466574,2924110,8524122
53,WA,2013,3292800,1542610,1336280,371610,1403930,6528900,2075620,24790,22270,455210,74600,701138,944930,3978485,1020520,6874739,844750,8891760,2630900,163362393,520320,656542,62130,31503,641560,3526447,2460210,7135642
54,WV,2013,784250,341620,337020,92340,379850,1537400,460150,14650,2810,66912,128200,913419,119640,184975,137100,1161257,105010,732187,576600,24855093,123840,157438,16730,5152,102040,407294,643800,1698970
55,WI,2013,2798200,1374590,1115510,286820,1484520,5318810,1621260,58970,15090,253140,838460,6272455,852660,3940679,924150,10498882,713420,4554884,2171990,108492494,436500,575005,79190,22445,492550,2006634,2135410,5233397
56,WY,2013,283780,134530,115710,28770,147170,545830,167010,9270,1200,24190,6810,141097,55210,135673,62150,393164,48220,436505,223490,15419259,48630,68812,6200,1756,50420,310076,216650,770166
0,US,2014,147036250,68811990,53628590,21713820,80326750,287410570,95874970,1859650,957830,22558647,32161740,306717250,37104040,178063049,43483910,514653194,32077130,278678869,111534180,6903310304,22189220,26860385,2659370,1722388,28413630,156038589,110882980,337448001
1,AL,2014,2046400,822280,765870,418380,1196960,4183470,1486080,45800,6540,140594,429440,2092769,430800,598983,529360,2977934,390510,2846999,1477890,71936625,332960,388503,41000,17894,354820,1648754,1607350,4832504
2,AK,2014,361110,185860,129040,37100,152290,667990,209280,1430,2550,55127,19720,24063,71680,303787,77060,367777,66650,639529,309430,18320925,65420,83201,5990,2702,93110,423804,251670,716625
4,AZ,2014,2844970,1273370,1056760,478420,1430520,5852220,2076770,8340,12830,288533,588890,3116503,705160,1815785,801030,5624592,624980,5579558,2131300,112861427,473620,570340,42430,43986,619250,2701975,2062590,5917960
5,AR,2014,1223070,494530,491930,212350,725820,2514080,864810,41050,2570,50644,234620,1838270,229680,426243,276480,2435203,198960,1306926,883600,43668159,208010,245308,15240,6941,223130,1050371,946640,2727021
6,CA,2014,17410120,8344440,6240790,2584240,11001080,35881030,13071900,61090,164670,4199632,4789700,70803771,4712600,26195230,5895930,101097080,4206990,52160428,13170260,912874120,2683760,3084586,197970,405865,3958780,24987904,12440420,39616154
8,CO,2014,2553140,1232250,989610,283720,1227670,4952330,1558000,28460,19190,382978,732680,4818041,742020,1904082,830260,7138671,683120,6537545,2047060,133019904,399890,506901,42990,29332,595080,3352483,1820500,5065593
9,CT,2014,1749380,861380,627960,224630,948490,3214470,973950,3180,24730,619518,648430,8230982,653780,4873557,718040,13599476,536230,4698295,1402390,124880059,224070,264510,45350,27259,355480,2316211,1289770,4762888
10,DE,2014,443820,209480,157620,66230,204870,839260,265420,2020,2360,52978,133140,894524,126200,326248,140580,1237091,115710,1028273,349440,19363955,65780,77683,10000,6100,85190,366537,340000,925138
11,DC,2014,336950,216380,55770,55470,154720,529860,146050,160,5840,197022,125330,1653868,85000,360595,132060,2040476,77950,962668,276540,22763066,27770,26633,4190,3342,73770,443757,247070,794374
12,FL,2014,9398170,4468110,3113940,1604340,5069740,17488390,5442160,35910,34600,754065,151130,2940027,1731730,8438808,2083200,14548068,1465320,13340846,6821630,423928867,1200300,1325909,152750,91382,1758700,10750484,7070630,23445379
13,GA,2014,4377430,1862720,1515350,900950,2352200,9016190,3364640,47690,19800,476563,1259400,8152272,1178270,3422107,1424340,12381779,1066200,8224160,3122240,172297880,683520,775583,77210,31491,842280,4083392,3360530,10329573
15,HI,2014,681790,340020,252000,73760,356400,1289300,388880,5590,5290,112828,169130,1406836,151360,322345,198400,1788945,140280,1794923,536730,27296105,103640,130030,15530,54536,136250,560043,498640,1354236
16,ID,2014,701960,294330,324080,77190,362400,1497260,512000,19970,2770,55634,160500,1130123,176420,432383,195510,1621937,154040,1174144,527020,24729355,129990,178707,12400,5135,149610,705030,511120,1288207
17,IL,2014,6130850,2905710,2185870,939000,3447980,11995240,4134650,66350,42020,1074568,1684660,13165130,1774350,11515413,1982660,25531696,1488560,11473380,4678780,308048217,890990,1087412,136470,50170,1077720,6058834,4740140,15113377
18,IN,2014,3078600,1414940,1191930,417070,1579330,6061210,2015700,51430,12260,265221,670490,4164083,639390,1431914,710100,5887026,557920,3582657,2287180,114285248,513250,660384,75320,29642,470400,2264717,2446890,6645156
19,IA,2014,1445500,666910,609710,149430,914950,2811890,864270,79770,10070,187173,371370,2529541,379740,1311575,421800,4062984,302360,1780015,1159410,60154565,246350,335868,34450,22926,294360,1418367,1077180,2803802
